Tempo (ms);m1
23033;161.510529980824
23067;172.200951513738
23100;184.765559278277
23133;199.051382036365
23167;214.832103313333
23200;231.830140242343
23233;249.747108640714
23267;268.287438757613
23300;287.179193404854
23333;306.180315103838
23367;325.056779255364
23400;343.54868382794
23433;361.355112015644
23467;378.153794626145
23500;393.64230308626
23533;407.573564935422
23567;419.757990924687
23600;430.032318979081
23633;438.236506639439
23667;444.218811880692
23700;447.855485597914
23733;449.070424545268
23767;447.837328754526
23800;444.174155298276
23833;438.149581517055
23867;429.883239730676
23900;419.531958728705
23933;407.280335354015
23967;393.332658375679
24000;377.899520021377
24033;361.201565318128
24067;343.494794424268
24100;325.072886867675
24133;306.232153862195
24167;287.245305584658
24200;268.372125455329
24233;249.887849977645
24267;232.095588545283
24300;215.305239215827
24333;199.791991760767
24367;185.762911380656
24400;173.362347159267
24433;162.72016389771
24467;153.989528620899
24500;147.325798255559
24533;142.838387248921
24567;140.578105498536
24600;140.560928914802
24633;142.787766761358
24667;147.241663119726
24700;153.863258268627
24733;162.524952899449
24767;173.045453665953
24800;185.243420047215
24833;198.968798420391
24867;214.084849831935
24900;230.437372977839
24933;247.830193964981
24967;266.011328250349
25000;284.694007632375
25033;303.593724573069
25067;322.43505727857
25100;340.93202417688
25133;358.77744554052
25167;375.660556996645
25200;391.300797728735
25233;405.47000054165
25267;417.973735754729
25300;428.606534080675
25333;437.154192231347
25367;443.449901662471
25400;447.411569493533
25433;449.032475479477
25467;448.337156493556
25500;445.338386328819
25533;440.042038515907
25567;432.48087613667
25600;422.742046348922
25633;410.982671334291
25667;397.422389026953
25700;382.32627218225
25733;365.984524202047
25767;348.674257804029
25800;330.633307371961
25833;312.059993678133
25867;293.109061619942
25900;273.891769391427
25933;254.509096746245
